Name,Status,Priority,Type,Task,Description
Custom offer,Launched,Week 1,Interaction,[SUB-2622: Custom offer](https://linear.app/juo/issue/SUB-2622/custom-offer),
https://www.notion.so/Admin-panel-bettering-32c903e568c480bab4ebcb311792c920?pvs=21 (previously Skip Order),Launched,Week 1,Interaction,[SUB-2611: Offer delay order (previously Skip Order)](https://linear.app/juo/issue/SUB-2611/offer-delay-order-previously-skip-order),
AB test,Launched,Week 1,Execution,[SUB-2610: AB test](https://linear.app/juo/issue/SUB-2610/ab-test),
Send SMS,Todo,Week 3,Execution,,
Retry payment,Todo,Week 3,Execution,,
Send Email,Todo,Week 4,Execution,,
Collect feedback,Todo,,Interaction,,
,Todo,,,,
Show Notifications,Todo,,Execution,,
Pause Subscription,Todo,,Execution,,
Apply Free Shipping,Todo,,Execution,,
Replace Subscriptions Products,Todo,,Execution,,
Renew Now,Todo,,Execution,,
Send Event to Klaviyo,Todo,,Execution,,
Add Tag,Todo,,Execution,,
Remove Tag,Todo,,Execution,,
Update Custom Field,Todo,,Execution,,
Skip order,Launched,,Execution,,
Offer free product,Launched,,Interaction,,
Offer discount,Launched,,Interaction,,
Offer selection,Launched,,Interaction,,
Offer swap product,Launched,,Interaction,,
Poll,Launched,,Interaction,,
Offer renew,Launched,,Interaction,,
Offer change frequency,Launched,,Interaction,,
Show confirmation,Launched,,Interaction,,
Apply Discount,Launched,,Execution,,
Cancel Subscription,Launched,,Execution,,
Add Product,Launched,,Execution,,
Swap Product,Launched,,Execution,,
Change Frequency,Launched,,Interaction,,
Show content,Launched,,Interaction,[SUB-2612: Show content](https://linear.app/juo/issue/SUB-2612/show-content),
Remove all discounts,Launched,,Execution,,
